ubc_number,mine,tsf,owner_company,country,latitude,longitude,status,construction_year,current_tailings_storage,planned_storage_5_years,hazard_categorization,source,link,index_right,um_class,conf,name,lith,ref_source,publish,dist_m,dist_km
1021,St. Ives,St. Ives TSF 3,Gold Fields,Australia,-31.380278,121.784167,Inactive Care and Maintenance,2003.0,17400000.0,17400000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.goldfields.com/pdf/media/media-release/gold-fields-tsf-document-june-2019-new.pdf,21334,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,1082.738612359665,1.1
1512,Long OK,Long OK TSF,Independence Group,Australia,-31.186989,121.685968,Closed,1965.0,75000.0,75000.0,Unknown,Global Tailing Dam [https://www.grida.no/publications/472],https://www.igo.com.au/site/PDF/2784_2/20190613igotailingsdamdisclosurecoverletterv10,22543,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,2194.43317646979,2.2
1513,Long South Kambalda,Long South Kambalda TSF,Independence Group,Australia,-31.183229,121.682546,Closed,1965.0,300000.0,300000.0,Unknown,Global Tailing Dam [https://www.grida.no/publications/472],https://www.igo.com.au/site/PDF/2784_2/20190613igotailingsdamdisclosurecoverletterv10,22543,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,1737.392634850338,1.7
932,Wodgina,Wodgina TSF1,Mineral Resources,Australia,-21.18138,118.67333,Closed,,,,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://s3-ap-southeast-2.amazonaws.com/assets.mineralresources.com.au/app/uploads/2020/01/13105846/Tailings-Safety-Disclosure-Response-2020.pdf,22126,major,high,Pilbara Supergroup - ultramafic rocks,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,162.34670403445097,0.2
933,Wodgina,Wodgina TSF2,Mineral Resources,Australia,-21.18083,118.67944,Closed,,,,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://s3-ap-southeast-2.amazonaws.com/assets.mineralresources.com.au/app/uploads/2020/01/13105846/Tailings-Safety-Disclosure-Response-2020.pdf,22126,major,high,Pilbara Supergroup - ultramafic rocks,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,301.9329742063844,0.3
934,Wodgina,Wodgina TSF3,Mineral Resources,Australia,-21.187777,118.663888,Closed,,10380365.0,10380365.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://s3-ap-southeast-2.amazonaws.com/assets.mineralresources.com.au/app/uploads/2020/01/13105846/Tailings-Safety-Disclosure-Response-2020.pdf,22126,major,high,Pilbara Supergroup - ultramafic rocks,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,1406.407380142509,1.4
935,Wodgina,Wodgina TSF3E,Mineral Resources,Australia,-21.184153,118.664897,Active,2019.0,218588.0,2000000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://s3-ap-southeast-2.amazonaws.com/assets.mineralresources.com.au/app/uploads/2020/01/13105846/Tailings-Safety-Disclosure-Response-2020.pdf,22126,major,high,Pilbara Supergroup - ultramafic rocks,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,960.42362536211,1.0
936,Mt Marion,Mt Marion GCB,Mineral Resources,Australia,-31.08083,121.4325,Active,2016.0,1900000.0,7500000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://s3-ap-southeast-2.amazonaws.com/assets.mineralresources.com.au/app/uploads/2020/01/13105846/Tailings-Safety-Disclosure-Response-2020.pdf,20366,major,high,ultramafic and meta-ultramafic rock 74281,meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,642.5514141765552,0.6
947,Rosebery Bobadil Dam,Rosebery Bobadil Dam,MMG,Australia,-41.750833,145.513056,Inactive Care and Maintenance,1974.0,22900000.0,24400000.0,High C,Global Tailing Dam [https://www.grida.no/publications/472],https://www.mmg.com/wp-content/uploads/2019/12/MMG_Mine_Tailings_Storage_Facilities.pdf,22463,major,high,ultramafic rock 69569,igneous ultramafic; meta-igneous ultramafic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,3027.615170672838,3.0
1825,KCGM,Fimiston II,Newmont Goldcorp,Australia,-30.751359,121.546371,Active,1991.0,120000000.0,151000000.0,High C,Global Tailing Dam [https://www.grida.no/publications/472],https://www.newmontgoldcorp.com/document/church-of-england-tailings-management/,22377,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,4065.911431699653,4.1
1827,KCGM,Gidji I,Newmont Goldcorp,Australia,-30.58317,121.453803,Inactive Care and Maintenance,1989.0,3000000.0,3000000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.newmontgoldcorp.com/document/church-of-england-tailings-management/,21120,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,2711.983394233086,2.7
1828,KCGM,Gidji II,Newmont Goldcorp,Australia,-30.58317,121.453803,Active,2012.0,1000000.0,2000000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.newmontgoldcorp.com/document/church-of-england-tailings-management/,21120,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,2711.983394233086,2.7
1775,Garden Well,GWTSF1,Regis Resources,Australia,-27.894444,122.373889,Active,2011.0,23000000.0,38000000.0,High,Global Tailing Dam [https://www.grida.no/publications/472],https://www.regisresources.com.au/Environment/dam-and-tailings-management.html,20320,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,3624.6791544388216,3.6
