legend_id,source_id,scale,um_class,um_terms,um_rock,name,lith,area_km2,lith_id
67509,151,large,major,ultramaf,ultramafic rock (undifferentiated),"Mafic and ultramafic metamorphic rocks, undivided",,5.086,56;62;79;161
70002,155,large,idonly,harmonised-lith-id,,Gneisses undifferentiated,,136.2,53;79;84;85;86;88;133
14356,13,large,minor,serpentin,serpentinite,Crescent Formation TZIII schist (Caples Terrane),"Major:: {schist},Minor:: {psammite, pelite, greenschist, metachert, serpentinite}",28.372,7;84;88;98
19479,20,large,major,harzburg,harzburgite,Baker Terrane; Canyon Mountain Complex,"Major: {gabbro dikes, mineralogy: olivine clinopyroxene orthopyroxene}; Major: {feldspathic harzburgite, zones: feldspar broad layerlike or isolated single lobate blobs}",5.305,59;128
23867,20,large,major,serpentin,serpentinite,Pickett Peak Terrane,"Major: {serpentinite, mineralization: chromite, nickel, copper, asbestos} Minor: {pyroxenite, mineralization: chromite, nickel, copper, asbestos}; Minor: {dunite, mineralization: chromite, nickel, copper, asbestos}; Minor: {harzburgite, mineralization: chromite, nickel, copper, asbestos}",3.82,62;88;128
38495,22,large,major,peridotit,peridotite,"Soil containing crystals of ilmenite and garnet, intrusive rocks of Permian Age",peridotite,0.131,61
25254,20,large,major,serpentin,serpentinite,Snow Camp Terrane; Coast Range Ophiolite,"Major: {meta-volcanic rocks, matrix: serpentine}; Major: {meta-sedimentary rocks, matrix: serpentine}; Major: {meta-igneous rocks, matrix: serpentine} Minor: {sandstone}; Minor: {shale}; Minor: {phyllitic schist}",2.68,8;10;63;84;95;111
23135,20,large,major,peridotit,peridotite,Neogene sedimentary rocks,"Major: {gravel, gabbro, metavolcanics, peridotite, quartzite, amphibolite, graywacke, chert clasts}",0.418,2;12;45;59;61;85;86;178
52620,82,large,idonly,harmonised-lith-id,,Great Valley Complex,,2.851,18;88;128
19384,20,large,major,serpentin,serpentinite,Baker Terrane,Major: {serpentinite},0.246,88
18975,19,large,major,ultrabasic;ultramaf,ultramafic rock (undifferentiated),,ultrabasic (ultramafic) rocks,0.473,
71126,176,large,major,ultramaf,ultramafic rock (undifferentiated),mafic intrusive rocks ~1700-2300 Ma: ultramafic rocks,,1.042,161
19460,20,large,major,serpentin,serpentinite,Baker Terrane; Burnt River Schist,"Major: {serpentinite, dark green, greenish gray; anthophyllite tremolite phenocrysts; veins: veins clots white colorless pink pale green talc; mineralogy: orthopyroxene olivine serpentine talc amphibole}; Major: {meta-serpentinite, dark green, greenish gray; anthophyllite tremolite phenocrysts; veins: veins clots white colorless pink pale green talc; mineralogy: orthopyroxene olivine serpentine talc amphibole} Minor: {carbonate rocks, black}",5.416,18;88
16110,13,large,major,ultramaf,serpentinite,Otu Ultramafics (Brook Street Volcanics Group),"Major:: {serpentinite},Minor:: {rodingite, gabbro, pyroxenite, gabbronorite, diorite, basalt}",1.398,57;59;62;70;88
18583,19,large,major,ultramaf,ultramafic rock (undifferentiated),"Shuksan nappe, ultramafic rocks of",ultrabasic (ultramafic) rocks,0.107,
19250,20,large,major,harzburg;serpentin,serpentinite,Applegate Group; Applegate Amphibolite,Major: {serpentine dunite}; Major: {serpentine pyroxenite}; Major: {serpentine harzburgite},0.263,62;128
25606,20,large,major,serpentin,serpentinite,Western Klamath Terrane; Rogue Valley Subterrane; Rogue Formation,"Major: {amphibole gneiss, alteration: serpentine, sediments, volcanic rocks}",0.093,63;79
54713,102,large,major,ultramaf,ultramafic rock (undifferentiated),Mafic-ultramafic complex,,10.143,59;62;161
53538,92,large,major,serpentin,serpentinite,"Great Valley complex, Serpentinite",,13.759,18;62;88;128
53452,91,large,idonly,harmonised-lith-id,,Silica-carbonate rock,,2.128,18;63;88
86712,237,large,idonly,harmonised-lith-id,,Fleur de Lys Supergroup,,0.932,62;84;88;122;128
25262,20,large,major,serpentin,serpentinite,Snow Camp Terrane; Coast Range Ophiolite,"Major: {serpentinite, mineralization: chromite, nickel, copper, asbestos} Minor: {harzburgite, mineralization: chromite, nickel, copper, asbestos}; Minor: {dunite, mineralization: chromite, nickel, copper, asbestos}; Minor: {pyroxenite, mineralization: chromite, nickel, copper, asbestos}",61.731,62;88;128
25507,20,large,major,wehrlit,wehrlite,Western Klamath Terrane,"Major: {wehrlite, mineralogy: clinopyroxene, olivine}",0.096,128
25485,20,large,major,serpentin,serpentinite,Wallowa Terrane; Sparta Complex,"Major: {schist, mineralogy: chlorite serpentine} Minor: {peridotite, dark bluish black; large keratophyre chert inclusions; alteration: completely serpentinized}",4.035,45;61;84
25666,20,large,major,harzburg,dunite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,Major: {dunite}; Major: {peridotite}; Major: {harzburgite},1.843,61;128
25661,20,large,major,serpentin,serpentinite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {cumulate gabbro, alteration: hydrothermal; matrix: serpentine; zones: melange}",0.779,59
22505,20,large,major,serpentin,serpentinite,Little Butte Volcanics,"Major: {basalt flows, medium light gray, grayish black; tuff lenses; cavity fill: zeolites, calcite, clay minerals; alteration: palagonite, magnetite, iddingsite, serpentine; matrix: interstitial glass and plagioclase laths; olivine, augite, labradorite phenocrysts; fracture fill: zeolites, calcite, clay minerals; staining: iron staining; lithology: zeolitic; magnetite grains}",3.874,70;76;93
25677,20,large,major,serpentin,serpentinite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {gabbro, zones: melange; alteration: hydrothermal; matrix: serpentine}; Major: {pillow flows, alteration: hydrothermal; matrix: serpentine; zones: melange}; Major: {mafic dikes, alteration: hydrothermal; matrix: serpentine; zones: melange}; Major: {breccia flows, zones: melange; alteration: hydrothermal; matrix: serpentine}",24.984,15;59;161
18967,19,large,major,ultrabasic;ultramaf,ultramafic rock (undifferentiated),,ultrabasic (ultramafic) rocks,0.033,
96302,288,large,major,ultramaf,ultramafic rock (undifferentiated),Mount Arrowsmith Volcanics - Unnamed ultramafics,,0.004,88;98
53299,90,large,idonly,harmonised-lith-id,,"Franciscan Complex, Metamorphic rocks",,0.043,78;84;88;110
25102,20,large,major,serpentin,serpentinite,Sexton Mtn. Terrane; Greenback Melange,"Major: {argillite, matrix: serpentinite}; Major: {tuffaceous shale, matrix: serpentinite}; Major: {phyllite, matrix: serpentinite}",0.212,8;83;88;91
18327,19,large,major,ultrabasic;ultramaf,ultramafic rock (undifferentiated),"Napeequa unit, Chelan Mountains terrane",ultrabasic (ultramafic) rocks,18.014,
19240,20,large,major,harzburg;serpentin,peridotite,Applegate Group; Applegate Amphibolite,"Major: {peridotite, alteration: hydrothermal; matrix: serpentine; zones: melange}; Major: {dunite, alteration: hydrothermal; matrix: serpentine; zones: melange}; Major: {tectonite harzburgite, zones: melange; alteration: hydrothermal; matrix: serpentine} Minor: {websterite}; Minor: {lherzolite}; Minor: {chromite}",3.961,61;128
19390,20,large,major,serpentin,serpentinite,Baker Terrane,"Major: {serpentinite, dark green; mineralogy: serpentine olivine brucite bronzite magnesite chromite}",0.145,88
25257,20,large,major,serpentin,peridotite,Snow Camp Terrane; Coast Range Ophiolite,Major: {peridotite}; Major: {serpentinite},5.703,61;88
45716,38,large,idonly,harmonised-lith-id,,Franciscan Complex,,0.295,18;88
16663,13,large,major,serpentin,serpentinite,Undifferentiated Maitai Group serpentinite breccia,"Major:: {serpentinite},Minor:: {breccia}",0.673,15;88
53296,90,large,idonly,harmonised-lith-id,,"Franciscan Complex, Conglomerate",,0.145,8;11;12;14;45;57;84;85;88
53516,92,large,idonly,harmonised-lith-id,,"Franciscan Complex, Mélange",,0.492,12;18;30;45;78;84;86;87;88;91;132;133;176
25222,20,large,major,peridotit,peridotite,Snow Camp Terrane,"Major: {peridotite, alteration: altered to serpentinite}; Major: {serpentinite, black, greenish black, yellow green, green; veins: quartz}; Major: {peridotite}; Major: {peridotite}",2.677,61;88
19203,20,large,major,serpentin,serpentinite,Applegate Group,"Major: {serpentinite, blue black, green; serpentinization: complete}",0.359,88
25503,20,large,major,peridotit,peridotite,Western Klamath Terrane,"Major: {peridotite, dark green; mineralogy: olivine, other mafic minerals}",1.912,61;161
25690,20,large,major,serpentin,lherzolite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {lherzolite, alteration: saxonite}; Major: {serpentinite, bluish gray, dark olive green, dark green}",12.358,88;128
23545,20,large,minor,dunit,pyroxenite,Nevadan Intrusives; Grayback Plutons; Grayback Pluton,Major: {pyroxenite}; Major: {hornblende pyroxenite}; Major: {hornblende gabbro}; Major: {gabbro} Minor: {peridotite}; Minor: {serpentinite}; Minor: {dunite},1.471,59;61;62;88;128
