dep_id,site_name,latitude,longitude,country,state,commod1,commod2,commod3,dev_stat,prod_size,ore,gangue,hrock_type,hrock_unit,asbestos,ultramafic_host_text
10109138,Ellingwood Mine,38.18185,-120.77212,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109139,Vogelgesang Mine,38.15324,-120.75379,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109150,Fields and Stoker Mine Briggs Lease,38.23963,-120.80879,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109153,Clary and Langford Mine Porter and Spring Nassau,38.04185,-120.64684,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109154,Davis Mine,38.00908,-120.62545,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109155,Stone Mine,38.0113,-120.6041,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109165,Peirano Ranch Commercial Mineral and Mining Co.,38.05241,-120.49683,United States,California,Talc-Soapstone,,,Producer,S,"Soapstone, Talc",,,,False,False
10109166,American Asbestos & Manufacturing Co. Mine,37.93991,-120.549,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109167,Peri Mine,37.98019,-120.57017,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109168,Madrid Mine True Blue,38.14297,-120.51295,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109201,Dobbas,38.79051,-121.07251,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109202,Murphy,38.54629,-120.95519,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109204,Star and Rough and Ready,41.81954,-123.99394,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109205,Inman No.2,41.6751,-123.95421,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109206,"Billy Boy Hawkins, Divide",41.75288,-123.98283,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109207,Pine Flat,41.98149,-123.99255,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109208,Camp 8st. Patrick,41.7651,-123.87948,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109214,Chrome King,39.48987,-122.57247,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109218,"Pecwan Mine Englebright, New Mon",41.39316,-123.78697,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109220,Unknown,40.84095,-123.7128,United States,California,Chromium,,,Producer,S,,,,,False,False
10109226,Smaker Property,39.2157,-122.73997,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109254,Southard Ranch,39.4043,-123.32916,United States,California,Magnesite,,,Producer,S,Magnesite,,,,False,False
10109278,"White Rock Mine Pope Valley, Walters",38.65406,-122.37689,United States,California,Magnesite,,,Producer,S,Magnesite,,,,False,False
10109282,Bowden Prospect,39.176,-121.08132,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109297,"Parker Ranch Meadowbrook Ranch, Mcnear, Or Auburn Chrome",38.97628,-121.10492,United States,California,Chromium,,,Producer,S,Chromite,,,,False,False
10109299,Lost Lee Claim,42.0276,-123.8406,United States,Oregon,Chromium,,,Producer,Y,Chromite,,Serpentinite,Josephine Peridotite,False,True
10109300,Bailey Chromite Prospect,42.20093,-123.85644,United States,Oregon,Chromium,,,Producer,Y,Chromite,,,,False,False
10109317,Toots Mine,42.25399,-123.68449,United States,Oregon,Chromium,,,Producer,Y,Chromite,,Serpentinite,Josephine Peridotite,False,True
10109303,Fry Gulch Mine,42.05954,-123.65032,United States,Oregon,Gold,,"Chromium, Platinum",Producer,S,"Chromite, Gold",Hematite,Gravel,Llano De Oro;,False,False
10109304,Eight Dollar No. 1,42.23815,-123.66477,United States,Oregon,Chromium,,,Producer,Y,Chromite,,Peridotite,,False,True
10109314,Oro Grande,42.67343,-123.29726,United States,Oregon,Gold,,,Producer,Y,,,Serpentinite,,False,True
10109315,Brown Scratch Claim,42.38232,-123.75033,United States,Oregon,Chromium,,,Producer,Y,Chromite,,Dunite,,False,True
10109316,Yellow Jacket Claim,42.42899,-123.74283,United States,Oregon,Chromium,,,Producer,Y,Chromite,,,,False,False
10109318,Sixes River Placers,42.80398,-124.31785,United States,Oregon,Gold,Platinum,"Chromium, Mercury, Iridium",Producer,S,,,,,False,False
10109319,Rock Creek,42.03065,-123.74698,United States,Oregon,Chromium,,,Producer,Y,Chromite,,,,False,False
10109322,Benson Placer,42.6401,-123.48672,United States,Oregon,Gold,,Platinum,Producer,S,"Gold, Platinum",,Gravel,,False,False
10109324,L.E.J. Asbestos,42.36788,-123.41587,United States,Oregon,Asbestos,,,Producer,Y,Tremolite,,Peridotite,,True,True
10109355,Mount Vernon Deposit,44.44346,-119.05884,United States,Oregon,Asbestos,,,Producer,S,Chrysotile,,Serpentinite,,True,True
