z,x,y,source_id,n_features
5,10,29,154,2
5,10,30,154,2
5,10,31,154,1
5,11,0,2,5
5,11,1,2,18
5,11,2,2,84
5,11,3,2,1
5,11,4,2,1
5,11,5,2,12
5,11,6,2,210
5,11,7,2,281
5,11,7,154,1
5,11,7,147,1
5,11,8,2,321
5,11,8,154,1
5,11,9,7,33
5,11,9,2,160
5,11,10,7,254
5,11,11,7,285
5,11,12,7,248
5,11,13,7,280
5,11,15,154,18
5,11,16,154,88
5,11,17,154,76
5,11,18,154,44
5,11,19,154,8
5,11,22,154,4
5,11,23,154,3
5,11,27,154,1
5,11,28,154,1
5,11,29,154,1
5,11,30,154,1
5,11,31,154,1
5,12,0,2,4
5,12,1,2,78
5,12,2,2,82
5,12,3,2,1
5,12,4,2,1
5,12,5,2,1
5,12,6,2,1
5,12,7,2,125
5,12,8,2,353
5,12,9,7,224
5,12,9,2,166
5,12,10,7,215
5,12,11,7,66
5,12,11,147,1
5,12,12,7,1
5,12,16,154,66
5,12,17,154,53
5,12,18,154,10
5,12,21,154,2
5,12,22,154,1
5,12,27,154,2
5,12,28,154,3
5,12,29,154,2
5,12,30,154,1
5,12,31,154,1
5,13,0,2,3
5,13,1,2,55
5,13,2,2,83
5,13,3,2,26
5,13,4,2,37
5,13,5,2,139
5,13,6,2,517
5,13,7,2,407
5,13,8,2,133
5,13,9,7,189
5,13,9,2,94
5,13,10,7,426
5,13,10,147,2
5,13,11,147,18
5,13,11,7,51
5,13,12,147,34
5,13,13,147,2
5,13,14,154,7
5,13,22,154,7
5,13,26,154,2
5,13,27,154,2
5,13,28,154,4
5,13,29,154,1
5,13,30,154,1
5,13,31,154,1
5,14,0,2,8
5,14,1,2,21
5,14,2,2,73
5,14,3,2,90
5,14,4,2,87
5,14,5,2,159
5,14,6,2,119
5,14,7,2,39
5,14,8,2,219
5,14,9,7,92
5,14,9,2,33
5,14,10,147,4
5,14,10,7,142
5,14,11,147,10
5,14,12,147,14
5,14,12,190,1
5,14,13,190,61
5,14,13,147,45
5,14,14,190,200
5,14,14,147,4
5,14,14,154,8
5,14,15,190,46
5,14,15,154,7
5,14,16,154,1
5,14,25,154,4
5,14,26,154,6
5,14,27,154,2
5,14,28,154,3
5,14,29,154,1
5,14,30,154,1
5,14,31,154,1
5,15,0,2,6
5,15,1,2,2
5,15,2,2,5
5,15,3,147,9
5,15,3,2,2
5,15,4,147,6
5,15,4,2,2
5,15,5,2,3
5,15,5,147,6
5,15,6,2,13
5,15,6,147,11
5,15,7,147,12
5,15,7,2,6
5,15,8,147,30
5,15,8,2,14
5,15,9,7,12
5,15,9,147,557
5,15,9,2,42
5,15,10,7,37
5,15,10,147,924
5,15,11,147,863
5,15,12,147,732
5,15,12,190,131
5,15,13,190,239
5,15,13,147,7
5,15,14,190,136
5,15,15,190,197
5,15,15,154,9
5,15,17,154,1
5,15,25,154,8
5,15,26,154,3
5,15,27,154,2
5,15,28,154,2
5,15,29,154,1
5,15,30,154,1
5,15,31,154,1
5,16,3,147,25
5,16,3,2,9
5,16,4,147,21
5,16,4,2,7
5,16,5,147,8
5,16,6,147,8
5,16,7,147,28
5,16,8,147,251
5,16,8,2,293
5,16,9,147,628
5,16,9,2,297
5,16,10,147,905
5,16,11,147,1686
5,16,12,147,231
5,16,12,190,167
5,16,13,190,225
5,16,14,190,346
5,16,15,190,236
5,16,15,154,12
5,16,16,190,37
5,16,16,154,6
5,16,24,154,1
5,16,25,154,3
5,16,26,154,2
5,16,27,154,1
5,16,28,154,1
5,16,29,154,1
5,16,30,154,1
5,16,31,154,1
5,17,3,147,131
5,17,3,2,123
5,17,4,147,211
5,17,4,2,210
5,17,5,2,35
5,17,5,147,57
5,17,6,147,42
5,17,6,2,2
5,17,7,147,359
5,17,7,2,525
5,17,8,147,246
5,17,8,2,756
5,17,9,147,788
5,17,9,2,235
5,17,10,147,1450
5,17,11,147,2451
5,17,12,190,12
5,17,12,147,639
5,17,13,190,72
5,17,13,147,7
5,17,14,190,83
5,17,15,190,250
5,17,16,190,264
5,17,16,154,4
5,17,17,190,263
5,17,17,154,11
5,17,18,190,274
5,17,18,154,5
5,17,19,190,23
5,17,19,154,2
5,17,24,154,2
5,17,25,154,7
5,17,26,154,1
5,17,27,154,1
5,17,28,154,1
5,17,29,154,1
5,17,30,154,1
5,17,31,154,1
5,18,3,147,37
5,18,3,2,27
5,18,4,2,28
5,18,4,147,41
5,18,5,147,9
5,18,5,2,2
5,18,6,2,37
5,18,6,147,119
5,18,7,147,126
5,18,7,2,615
5,18,8,147,65
5,18,8,2,874
5,18,9,147,212
5,18,9,2,268
5,18,10,147,460
5,18,11,147,1192
5,18,12,190,3
5,18,12,147,1445
5,18,13,190,124
5,18,13,147,17
5,18,14,190,98
5,18,15,190,169
5,18,16,190,672
5,18,17,190,431
5,18,18,190,457
5,18,18,154,3
5,18,19,190,29
5,18,19,154,1
5,18,24,154,2
5,18,25,154,5
5,18,26,154,1
5,18,27,154,1
5,18,28,154,1
5,18,29,154,1
5,18,30,154,1
5,18,31,154,1
5,19,3,147,19
5,19,3,2,2
5,19,4,147,20
5,19,5,147,5
5,19,6,147,12
5,19,7,147,135
5,19,7,2,251
5,19,8,147,58
5,19,8,2,231
5,19,9,2,31
5,19,9,147,81
