z,x,y
8,173,63
8,173,64
8,174,62
8,174,63
8,175,61
8,175,62
8,191,72
8,192,73
8,192,74
8,198,55
8,199,55
8,200,54
8,200,55
8,200,59
8,200,60
8,201,55
8,202,56
8,202,57
8,204,56
8,204,57
8,205,57
8,205,58
8,206,57
8,206,58
8,207,58
8,208,58
8,210,54
8,210,55
8,210,143
8,211,54
8,211,55
8,211,142
8,211,143
8,212,142
8,212,143
8,213,142
8,213,143
8,215,139
8,216,138
8,216,139
8,216,150
8,217,138
8,217,139
8,217,141
8,218,140
8,218,141
8,218,146
8,218,147
8,219,139
8,219,140
8,219,146
8,219,147
8,220,144
8,220,145
8,220,147
8,221,147
8,221,150
8,221,151
8,222,149
8,222,150
8,222,151
8,223,145
8,223,147
8,223,149
8,223,150
8,223,151
8,227,62
8,227,142
8,227,143
8,228,59
8,228,60
8,228,142
8,228,143
8,229,49
8,229,50
8,229,65
8,230,139
8,230,141
8,231,139
8,231,140
8,231,141
8,231,142
8,231,160
8,231,161
8,232,141
8,232,142
8,232,145
8,232,152
8,232,156
8,232,157
8,232,160
8,232,161
8,233,142
8,233,144
8,233,145
8,233,146
8,233,152
8,233,153
8,233,154
8,233,155
8,234,143
8,234,144
8,234,145
8,234,153
8,235,144
8,235,145
8,235,146
8,235,147
8,235,150
8,235,151
8,236,147
8,236,148
8,236,149
8,236,151
8,243,60
8,243,61
8,243,72
8,244,60
8,244,70
8,244,71
8,244,72
8,245,63
8,245,64
8,245,70
8,245,71
8,245,72
8,246,71
8,246,72
8,250,66
8,250,70
8,250,72
8,251,65
8,251,66
8,251,69
8,252,64
8,252,65
8,252,69
8,252,70
8,253,68
8,253,69
8,254,69
8,255,66
